Time,Open,High,Low,Last,Change,Volume
11/30/17,50.51,51.23,50.51,51.16,0.26,588985
11/29/17,52.13,52.63,50.75,50.9,-2.32,714900
11/28/17,53.1,53.34,52.86,53.22,-0.22,377800
11/27/17,53.41,53.96,53.41,53.44,0.89,355900
11/24/17,52.16,52.6,52.16,52.55,2,387200
11/22/17,50.4,50.56,50.19,50.55,0.72,281200
11/21/17,49.95,50,49.71,49.83,-0.228,223500
11/20/17,49.905,50.18,49.81,50.058,0.408,137500
11/17/17,49.84,49.88,49.65,49.65,-0.13,287900
11/16/17,49.685,49.88,49.53,49.78,2.05,358400
11/15/17,47.665,47.96,47.55,47.73,-1.67,304100
11/14/17,49.385,49.8,49.08,49.4,0.73,404200
11/13/17,48.41,48.77,48.215,48.67,0.24,372100
11/10/17,48.25,48.88,48.05,48.43,1.63,460800
11/09/17,47.14,47.22,46.55,46.8,-1.14,457700
11/08/17,47.7,47.94,47.6,47.94,1.03,170700
11/07/17,47.1,47.34,46.86,46.91,0.12,396900
11/06/17,46.84,46.84,46.6,46.79,-0.43,348100
11/03/17,47.3,47.34,46.95,47.22,0.020600000000002,388700
11/02/17,47.34,47.34,46.9,47.1994,-0.3006,277300
11/01/17,48.02,48.02,47.42,47.5,-1.15,613400
10/31/17,48.7,49.6137,48.6,48.65,-2.225,604900
10/30/17,49.255,51.74,49.08,50.875,3.215,1263900
10/27/17,46.8,47.7,46.8,47.66,0.88999999999999,507200
10/26/17,46.8,46.8,46.42,46.77,-0.73,304900
10/25/17,48,48.1,47.05,47.5,-1.21,1426700
10/24/17,48.56,48.8,48.55,48.71,0.21,288800
10/23/17,48.34,48.53,48.06,48.5,0.2,551800
10/20/17,48.175,48.44,48.01,48.3,0.27,254600
10/19/17,47.79,48.18,47.79,48.03,0.5,122500
10/18/17,47.8,47.8,47.49,47.53,-1.15,636800
10/17/17,48.66,48.77,48.55,48.68,-1,234800
10/16/17,49.615,49.71,49.55,49.68,0.079999999999998,303500
10/13/17,49.07,49.6,49.07,49.6,1.28,240500
10/12/17,48.67,48.83,48.23,48.32,-0.82,204500
10/11/17,48.75,49.16,48.75,49.14,0.86,221100
10/10/17,48.05,48.43,48.05,48.28,-0.19,184700
10/09/17,48.78,48.85,48.4,48.47,-0.2,120500
10/06/17,48.45,49.16,48.36,48.67,0.62,372000
10/05/17,47.545,48.25,47.54,48.05,1.3,385400
10/04/17,46.78,46.78,46.41,46.75,0.275,129900
10/03/17,46.25,46.6,46.1,46.475,0.325,213000
10/02/17,46.455,46.5,46.07,46.15,0.2,342200
09/29/17,46.15,46.3,45.86,45.95,-0.059999999999995,281400
09/28/17,46.2,46.2,45.78,46.01,0.52,188200
09/27/17,45.38,45.6,45.09,45.49,0.48,210300
09/26/17,44.955,45.28,44.82,45.01,0.079999999999998,331000
09/25/17,45.64,45.87,44.91,44.93,-0.69,970600
09/22/17,46,46,45.5,45.62,-0.98,440400
09/21/17,46.79,46.79,46.51,46.6,-1.1,325300
09/20/17,48.165,48.65,47.41,47.7,0.95,995200
09/19/17,45.85,46.79,45.7,46.75,2.67,1386500
09/18/17,44.35,44.672,43.95,44.08,-0.51000000000001,247100
09/15/17,43.79,44.65,43.51,44.59,1.55,712600
09/14/17,42.48,43.244,42.33,43.04,0.44,402700
09/13/17,43,43,42.6,42.6,-0.45,99300
09/12/17,42.99,43.24,42.96,43.05,0.81,316400
09/11/17,42.87,42.87,41.65,42.24,0.68,222800
09/08/17,41.58,41.63,41.53,41.56,0.66,90800
09/07/17,40.55,41,40.55,40.9,-0.196,117700
09/06/17,41.07,41.2,41,41.096,-0.054000000000002,112600
09/05/17,41.26,41.26,41,41.15,-0.71,199400
09/01/17,41.87,41.95,41.7,41.86,0.23,219000
08/31/17,41.39,41.73,41.39,41.63,0.23,109000
08/30/17,41.35,41.55,41.31,41.4,-0.4,115000
08/29/17,42.01,42.01,41.75,41.8,-0.42,87100
08/28/17,42.14,42.23,41.88,42.22,1.035,153200
08/25/17,41.1,41.3,41,41.185,0.085000000000001,74300
08/24/17,41.06,41.21,40.94,41.1,0,82000
08/23/17,41.1,41.21,41.05,41.1,-0.3199,60200
08/22/17,41.18,41.43,41.18,41.4199,0.4999,118500
08/21/17,40.85,41.04,40.83,40.92,-0.33,82200
08/18/17,41.11,41.39,41.11,41.25,0.039999999999999,76500
08/17/17,41.6,41.67,41.2001,41.21,-0.42,167500
08/16/17,41.5,41.67,41.37,41.63,0.21,70400
08/15/17,41.3,41.5,41.3,41.42,0.35,113200
08/14/17,41.2,41.24,40.95,41.07,-0.030000000000001,232100
08/11/17,40.825,41.15,40.51,41.1,0.49,284800
08/10/17,41.67,41.8,40.61,40.61,-1.65,288200
08/09/17,42.57,42.68,42.14,42.26,-0.67,333600
08/08/17,43,43.29,42.91,42.93,0.060000000000002,202900
08/07/17,42.9,42.95,42.8,42.87,0.41999999999999,410800
08/04/17,42.354,42.5,42.3,42.45,0.07,204500
08/03/17,42.35,42.38,42.18,42.38,0.020000000000003,173200
