score_phrase,title,url,release_date,platform,score,genre,editors_choice
Good,Halo Wars 2,http://www.ign.com/articles/2017/02/21/halo-wars-2-review,22-Feb-17,PC,7,Strategy,N
Okay,Berserk and The Band of the Hawk,http://www.ign.com/articles/2017/02/21/berserk-and-the-band-of-the-hawk-review,21-Feb-17,PlayStation 4,6.3,Action,N
Amazing,Horizon: Zero Dawn,http://www.ign.com/articles/2017/02/20/horizon-zero-dawn-review,20-Feb-17,PlayStation 4,9.3,Adventure,N
Great,For Honor,http://www.ign.com/articles/2017/02/17/for-honor-review,18-Feb-17,Xbox One,8,Action,N
Great,For Honor,http://www.ign.com/articles/2017/02/17/for-honor-review,18-Feb-17,PC,8,Action,N
Great,For Honor,http://www.ign.com/articles/2017/02/17/for-honor-review,18-Feb-17,PlayStation 4,8,Action,N
Great,Sniper Elite 4,http://www.ign.com/articles/2017/02/13/sniper-elite-4-review,13-Feb-17,Xbox One,8.3,Shooter,N
Great,Sniper Elite 4,http://www.ign.com/articles/2017/02/13/sniper-elite-4-review,13-Feb-17,PlayStation 4,8.3,Shooter,N
Good,Fire Emblem Heroes,http://www.ign.com/articles/2017/02/07/fire-emblem-heroes-review,8-Feb-17,iPhone,7.4,"RPG, Strategy",N
Good,Fire Emblem Heroes,http://www.ign.com/articles/2017/02/08/fire-emblem-heroes-review,8-Feb-17,Android,7.4,"RPG, Strategy",N
Mediocre,Divide,http://www.ign.com/articles/2017/02/03/divide-review,4-Feb-17,PlayStation 4,5.5,Adventure,N
Amazing,Nioh,http://www.ign.com/articles/2017/02/02/nioh-review,2-Feb-17,PlayStation 4,9.6,Action,Y
Awful,Double Dragon IV,http://www.ign.com/articles/2017/02/01/double-dragon-4-review,2-Feb-17,PlayStation 4,3.5,Action,N
Good,Poochy and Yoshi's Woolly World,http://www.ign.com/articles/2017/02/01/poochy-yoshis-woolly-world-review,1-Feb-17,Nintendo 3DS,7.1,Platformer,N
Amazing,HyperX Cloud II Gaming Headset,http://www.ign.com/articles/2017/01/30/kingston-hyperx-cloud-ii-gaming-headset-review,30-Jan-17,PC,9.5,Hardware,N
Okay,Urban Empire,http://www.ign.com/articles/2017/01/27/urban-empire-review,28-Jan-17,PC,6.4,Strategy,N
Great,"AOC G2460PQU 24"" Monitor",http://www.ign.com/articles/2017/01/27/aoc-g2460pqu-144hz-gaming-monitor-review,27-Jan-17,PC,8,Hardware,N
Great,"LG 24GM77-B 24"" Monitor",http://www.ign.com/articles/2017/01/26/lg-24gm77-b-144hz-gaming-monitor-review,26-Jan-17,PC,8.5,Hardware,N
Good,Kingdom Hearts HD II.8 -- Final Chapter Prologue,http://www.ign.com/articles/2017/01/26/kingdom-hearts-hd-28-final-chapter-prologue-review,26-Jan-17,PlayStation 4,7.5,"Action, RPG",N
Good,ViewSonic XG2401 24” Monitor,http://www.ign.com/articles/2017/01/25/viewsonic-xg2401-gaming-monitor-review,25-Jan-17,PC,7.5,Hardware,N
Great,"ASUS VG248QE 24"" Monitor",http://www.ign.com/articles/2017/01/24/asus-vg248qe-gaming-monitor-review,24-Jan-17,PC,8.3,Hardware,N
Great,Tales Of Berseria,http://www.ign.com/articles/2017/01/23/tales-of-berseria-review,23-Jan-17,PlayStation 4,8.8,RPG,N
Good,Resident Evil 7 Biohazard,http://www.ign.com/articles/2017/01/23/resident-evil-7-biohazard-review,23-Jan-17,Xbox One,7.7,"Action, Adventure",N
Good,Resident Evil 7 Biohazard,http://www.ign.com/articles/2017/01/23/resident-evil-7-biohazard-review,23-Jan-17,PlayStation 4,7.7,"Action, Adventure",N
Good,Resident Evil 7 Biohazard,http://www.ign.com/articles/2017/01/23/resident-evil-7-biohazard-review,23-Jan-17,PC,7.7,"Action, Adventure",N
Great,Corsair Void RGB USB Dolby 7.1 Gaming Headset,http://www.ign.com/articles/2017/03/09/corsair-void-usb-dolby-71-rgb-gaming-headset-review,9-Mar-17,PC,8,Hardware,N
Good,Tom Clancy's Ghost Recon: Wildlands,http://www.ign.com/articles/2017/03/08/ghost-recon-wildlands-review,9-Mar-17,PC,7.9,Shooter,N
Good,Tom Clancy's Ghost Recon: Wildlands,http://www.ign.com/articles/2017/03/08/ghost-recon-wildlands-review,9-Mar-17,PlayStation 4,7.9,Shooter,N
Good,Tom Clancy's Ghost Recon: Wildlands,http://www.ign.com/articles/2017/03/08/ghost-recon-wildlands-review,9-Mar-17,Xbox One,7.9,Shooter,N
Good,Psychonauts In the Rhombus of Ruin,http://www.ign.com/articles/2017/03/09/psychonauts-in-the-rhombus-of-ruin-review,9-Mar-17,PlayStation 4,7.5,Adventure,N
Good,Turtle Beach PX24 Multi-Platform Gaming Headset,http://www.ign.com/articles/2017/03/08/turtle-beach-ear-force-px24-gaming-headset-review,8-Mar-17,PC,7.7,Hardware,N
Good,Nintendo Switch,http://www.ign.com/articles/2017/03/07/nintendo-switch-review,8-Mar-17,Nintendo Switch,7,Hardware,N
Great,Logitech Prodigy G231 Gaming Headset,http://www.ign.com/articles/2017/03/07/logitech-g231-prodigy-gaming-headset-review,8-Mar-17,PC,8.7,Hardware,N
Good,Fast RMX,http://www.ign.com/articles/2017/03/07/fast-rmx-review,7-Mar-17,Nintendo Switch,7.4,"Racing, Action",N
Amazing,Shovel Knight,http://www.ign.com/articles/2017/03/07/shovel-knight-treasure-trove-review,7-Mar-17,Nintendo Switch,9,"Platformer, Adventure",Y
Great,Snipperclips,http://www.ign.com/articles/2017/03/06/snipperclips-cut-it-out-together-review,7-Mar-17,Nintendo Switch,8,Puzzle,N
Okay,Super Bomberman R,http://www.ign.com/articles/2017/03/06/super-bomberman-r-review,7-Mar-17,Nintendo Switch,6.2,Action,N
Great,Razer Kraken Pro V2 Gaming Headset,http://www.ign.com/articles/2017/03/06/razer-kraken-pro-v2-gaming-headset-review,6-Mar-17,PC,8.3,Hardware,N
Great,Nier Automata,http://www.ign.com/articles/2017/03/06/nier-automata-review,6-Mar-17,PlayStation 4,8.9,"Action, RPG",N
Good,Just Dance 2017,http://www.ign.com/articles/2017/03/02/just-dance-2017-review,3-Mar-17,Xbox One,7,Music,N
Good,Just Dance 2017,http://www.ign.com/articles/2017/03/02/just-dance-2017-review,3-Mar-17,Nintendo Switch,7,Music,N
Okay,1-2-Switch,http://www.ign.com/articles/2017/03/02/1-2-switch-review,2-Mar-17,Nintendo Switch,6.8,Party,N
Masterpiece,The Legend of Zelda: Breath of the Wild,http://www.ign.com/articles/2017/03/02/the-legend-of-zelda-breath-of-the-wild-review,2-Mar-17,Wii U,10,Adventure,Y
Masterpiece,The Legend of Zelda: Breath of the Wild,http://www.ign.com/articles/2017/03/02/the-legend-of-zelda-breath-of-the-wild-review,2-Mar-17,Nintendo Switch,10,Adventure,Y
Great,Robo Recall,http://www.ign.com/articles/2017/03/01/robo-recall-review,1-Mar-17,PC,8.5,Shooter,Y
Great,Torment: Tides of Numenera,http://www.ign.com/articles/2017/02/28/torment-tides-of-numenera-review,28-Feb-17,Xbox One,8.8,RPG,N
Great,Torment: Tides of Numenera,http://www.ign.com/articles/2017/02/28/torment-tides-of-numenera-review,28-Feb-17,PC,8.8,RPG,N
Great,Torment: Tides of Numenera,http://www.ign.com/articles/2017/02/28/torment-tides-of-numenera-review,28-Feb-17,PlayStation 4,8.8,RPG,N
Great,Night in the Woods,http://www.ign.com/articles/2017/02/25/night-in-the-woods-review,25-Feb-17,PC,8.7,Adventure,N
Good,Halo Wars 2,http://www.ign.com/articles/2017/02/21/halo-wars-2-review,22-Feb-17,Xbox One,7,Strategy,N
Okay,Rain World,http://www.ign.com/articles/2017/03/27/rain-world-review,27-Mar-17,PC,6.3,Adventure,N
Okay,Has-Been Heroes,http://www.ign.com/articles/2017/03/24/has-been-heroes-review,24-Mar-17,Xbox One,6.1,"Action, RPG",N
Okay,Has-Been Heroes,http://www.ign.com/articles/2017/03/24/has-been-heroes-review,24-Mar-17,PC,6.1,"Action, RPG",N
Okay,Has-Been Heroes,http://www.ign.com/articles/2017/03/24/has-been-heroes-review,24-Mar-17,PlayStation 4,6.1,"Action, RPG",N
Amazing,G.Skill RipJaws KM780 RGB Mechanical Gaming Keyboard,http://www.ign.com/articles/2017/03/23/gskill-ripjaws-km780-rgb-mechanical-gaming-keyboard-review,23-Mar-17,PC,9.3,Hardware,N
Great,Logitech G810 Orion Spectrum RGB Mechanical Gaming Keyboard,http://www.ign.com/articles/2017/03/20/logitech-g810-orion-spectrum-gaming-keyboard-review-2,20-Mar-17,PC,8.5,Hardware,N
Good,Mass Effect: Andromeda,http://www.ign.com/articles/2017/03/20/mass-effect-andromeda-review,20-Mar-17,PlayStation 4,7.7,RPG,N
Good,Mass Effect: Andromeda,http://www.ign.com/articles/2017/03/20/mass-effect-andromeda-review,20-Mar-17,Xbox One,7.7,RPG,N
Good,Mass Effect: Andromeda,http://www.ign.com/articles/2017/03/20/mass-effect-andromeda-review,20-Mar-17,PC,7.7,RPG,N
Great,The Elder Scrolls Legends,http://www.ign.com/articles/2017/03/19/the-elder-scrolls-legends-review,20-Mar-17,PC,8.3,"Card, Battle",N
Great,The Elder Scrolls Legends,http://www.ign.com/articles/2017/03/19/the-elder-scrolls-legends-review,20-Mar-17,iPad,8.3,"Card, Battle",N
Amazing,The Binding of Isaac: Afterbirth+,http://www.ign.com/articles/2017/03/17/the-binding-of-isaac-afterbirth-review,17-Mar-17,Nintendo Switch,9,RPG,Y
Good,Kingston HyperX Alloy FPS Mechanical Gaming Keyboard,http://www.ign.com/articles/2017/03/17/kingston-hyperx-alloy-fps-mechanical-gaming-keyboard-review,17-Mar-17,PC,7.5,Hardware,N
Okay,FlatOut 4: Total Insanity,http://www.ign.com/articles/2017/03/17/flatout-4-total-insanity-review,17-Mar-17,PlayStation 4,6.6,Racing,N
Okay,FlatOut 4: Total Insanity,http://www.ign.com/articles/2017/03/17/flatout-4-total-insanity-review,17-Mar-17,Xbox One,6.6,Racing,N
Good,LEGO Worlds,http://www.ign.com/articles/2017/03/16/lego-worlds-review,16-Mar-17,PC,7.2,Action,N
Good,Story of Seasons: Trio of Towns,http://www.ign.com/articles/2017/03/16/story-of-seasons-trio-of-towns-review,16-Mar-17,Nintendo 3DS,7.7,Simulation,N
Good,Blaster Master Zero,http://www.ign.com/articles/2017/03/15/blaster-master-zero-review,15-Mar-17,Nintendo Switch,7,Action,N
Good,Styx: Shards of Darkness,http://www.ign.com/articles/2017/03/14/styx-shards-of-darkness-review,15-Mar-17,Xbox One,7.8,Action,N
Good,Styx: Shards of Darkness,http://www.ign.com/articles/2017/03/15/styx-shards-of-darkness-review,15-Mar-17,PC,7.8,Action,N
Good,Styx: Shards of Darkness,http://www.ign.com/articles/2017/03/14/styx-shards-of-darkness-review,15-Mar-17,PC,7.8,Action,N
Good,Styx: Shards of Darkness,http://www.ign.com/articles/2017/03/14/styx-shards-of-darkness-review,15-Mar-17,PlayStation 4,7.8,Action,N
